Sector,Escenario,Hora,Variable,Negativos,Menores,EnRango,Mayores
Norte,E0,00:00:00,Caudal,0,232,12,0
Norte,E0,00:00:00,Velocidad,0,235,9,0
Norte,E0,01:00:00,Caudal,0,230,14,0
Norte,E0,01:00:00,Velocidad,0,235,9,0
Norte,E0,02:00:00,Caudal,0,229,13,2
Norte,E0,02:00:00,Velocidad,0,235,9,0
Norte,E0,03:00:00,Caudal,0,229,11,4
Norte,E0,03:00:00,Velocidad,0,235,9,0
Norte,E0,04:00:00,Caudal,0,229,6,9
Norte,E0,04:00:00,Velocidad,0,235,9,0
Norte,E0,05:00:00,Caudal,0,227,8,9
Norte,E0,05:00:00,Velocidad,0,234,10,0
Norte,E0,06:00:00,Caudal,0,227,6,11
Norte,E0,06:00:00,Velocidad,0,233,11,0
Norte,E0,07:00:00,Caudal,0,454,13,21
Norte,E0,07:00:00,Velocidad,0,466,22,0
Norte,E0,09:00:00,Caudal,0,227,6,11
Norte,E0,09:00:00,Velocidad,0,233,11,0
Norte,E0,10:00:00,Caudal,0,227,6,11
Norte,E0,10:00:00,Velocidad,0,233,11,0
Norte,E0,11:00:00,Caudal,0,227,7,10
Norte,E0,11:00:00,Velocidad,0,233,11,0
Norte,E0,12:00:00,Caudal,0,227,8,9
Norte,E0,12:00:00,Velocidad,0,233,11,0
Norte,E0,13:00:00,Caudal,0,227,8,9
Norte,E0,13:00:00,Velocidad,0,233,11,0
Norte,E0,14:00:00,Caudal,0,227,8,9
Norte,E0,14:00:00,Velocidad,0,234,10,0
Norte,E0,15:00:00,Caudal,0,227,8,9
Norte,E0,15:00:00,Velocidad,0,234,10,0
Norte,E0,16:00:00,Caudal,0,227,8,9
Norte,E0,16:00:00,Velocidad,0,235,9,0
Norte,E0,17:00:00,Caudal,0,227,8,9
Norte,E0,17:00:00,Velocidad,0,235,9,0
Norte,E0,18:00:00,Caudal,0,227,8,9
Norte,E0,18:00:00,Velocidad,0,235,9,0
Norte,E0,19:00:00,Caudal,0,227,8,9
Norte,E0,19:00:00,Velocidad,0,235,9,0
Norte,E0,20:00:00,Caudal,0,227,8,9
Norte,E0,20:00:00,Velocidad,0,235,9,0
Norte,E0,21:00:00,Caudal,0,227,8,9
Norte,E0,21:00:00,Velocidad,0,235,9,0
Norte,E0,22:00:00,Caudal,0,227,8,9
Norte,E0,22:00:00,Velocidad,0,235,9,0
Norte,E0,23:00:00,Caudal,0,229,6,9
Norte,E0,23:00:00,Velocidad,0,235,9,0
Norte,E1,00:00:00,Caudal,0,232,12,0
Norte,E1,00:00:00,Velocidad,0,235,9,0
Norte,E1,01:00:00,Caudal,0,230,14,0
Norte,E1,01:00:00,Velocidad,0,235,9,0
Norte,E1,02:00:00,Caudal,0,229,13,2
Norte,E1,02:00:00,Velocidad,0,235,9,0
Norte,E1,03:00:00,Caudal,0,229,11,4
Norte,E1,03:00:00,Velocidad,0,235,9,0
Norte,E1,04:00:00,Caudal,0,229,6,9
Norte,E1,04:00:00,Velocidad,0,235,9,0
Norte,E1,05:00:00,Caudal,0,227,8,9
Norte,E1,05:00:00,Velocidad,0,234,10,0
Norte,E1,06:00:00,Caudal,0,227,6,11
Norte,E1,06:00:00,Velocidad,0,233,11,0
Norte,E1,07:00:00,Caudal,0,454,13,21
Norte,E1,07:00:00,Velocidad,0,466,22,0
Norte,E1,09:00:00,Caudal,0,227,6,11
Norte,E1,09:00:00,Velocidad,0,233,11,0
Norte,E1,10:00:00,Caudal,0,227,6,11
Norte,E1,10:00:00,Velocidad,0,233,11,0
Norte,E1,11:00:00,Caudal,0,227,7,10
Norte,E1,11:00:00,Velocidad,0,233,11,0
Norte,E1,12:00:00,Caudal,0,227,8,9
Norte,E1,12:00:00,Velocidad,0,233,11,0
Norte,E1,13:00:00,Caudal,0,227,8,9
Norte,E1,13:00:00,Velocidad,0,233,11,0
Norte,E1,14:00:00,Caudal,0,227,8,9
Norte,E1,14:00:00,Velocidad,0,234,10,0
Norte,E1,15:00:00,Caudal,0,227,8,9
Norte,E1,15:00:00,Velocidad,0,234,10,0
Norte,E1,16:00:00,Caudal,0,227,8,9
Norte,E1,16:00:00,Velocidad,0,235,9,0
Norte,E1,17:00:00,Caudal,0,227,8,9
Norte,E1,17:00:00,Velocidad,0,235,9,0
Norte,E1,18:00:00,Caudal,0,227,8,9
Norte,E1,18:00:00,Velocidad,0,235,9,0
Norte,E1,19:00:00,Caudal,0,227,8,9
Norte,E1,19:00:00,Velocidad,0,235,9,0
Norte,E1,20:00:00,Caudal,0,227,8,9
Norte,E1,20:00:00,Velocidad,0,235,9,0
Norte,E1,21:00:00,Caudal,0,227,8,9
Norte,E1,21:00:00,Velocidad,0,235,9,0
Norte,E1,22:00:00,Caudal,0,227,8,9
Norte,E1,22:00:00,Velocidad,0,235,9,0
Norte,E1,23:00:00,Caudal,0,229,6,9
Norte,E1,23:00:00,Velocidad,0,235,9,0
Norte,E2,00:00:00,Caudal,0,232,12,0
Norte,E2,00:00:00,Velocidad,0,235,9,0
Norte,E2,01:00:00,Caudal,0,230,14,0
Norte,E2,01:00:00,Velocidad,0,235,9,0
Norte,E2,02:00:00,Caudal,0,229,13,2
Norte,E2,02:00:00,Velocidad,0,235,9,0
Norte,E2,03:00:00,Caudal,0,229,11,4
Norte,E2,03:00:00,Velocidad,0,235,9,0
Norte,E2,04:00:00,Caudal,0,229,6,9
Norte,E2,04:00:00,Velocidad,0,235,9,0
Norte,E2,05:00:00,Caudal,0,227,8,9
Norte,E2,05:00:00,Velocidad,0,234,10,0
Norte,E2,06:00:00,Caudal,0,227,6,11
Norte,E2,06:00:00,Velocidad,0,233,11,0
Norte,E2,07:00:00,Caudal,0,454,13,21
Norte,E2,07:00:00,Velocidad,0,466,22,0
Norte,E2,09:00:00,Caudal,0,227,6,11
Norte,E2,09:00:00,Velocidad,0,233,11,0
Norte,E2,10:00:00,Caudal,0,227,6,11
Norte,E2,10:00:00,Velocidad,0,233,11,0
Norte,E2,11:00:00,Caudal,0,227,7,10
Norte,E2,11:00:00,Velocidad,0,233,11,0
Norte,E2,12:00:00,Caudal,0,227,8,9
Norte,E2,12:00:00,Velocidad,0,233,11,0
Norte,E2,13:00:00,Caudal,0,227,8,9
Norte,E2,13:00:00,Velocidad,0,233,11,0
Norte,E2,14:00:00,Caudal,0,227,8,9
Norte,E2,14:00:00,Velocidad,0,234,10,0
Norte,E2,15:00:00,Caudal,0,227,8,9
Norte,E2,15:00:00,Velocidad,0,234,10,0
Norte,E2,16:00:00,Caudal,0,227,8,9
Norte,E2,16:00:00,Velocidad,0,235,9,0
Norte,E2,17:00:00,Caudal,0,227,8,9
Norte,E2,17:00:00,Velocidad,0,235,9,0
Norte,E2,18:00:00,Caudal,0,227,8,9
Norte,E2,18:00:00,Velocidad,0,235,9,0
Norte,E2,19:00:00,Caudal,0,227,8,9
Norte,E2,19:00:00,Velocidad,0,235,9,0
Norte,E2,20:00:00,Caudal,0,227,8,9
Norte,E2,20:00:00,Velocidad,0,235,9,0
Norte,E2,21:00:00,Caudal,0,227,8,9
Norte,E2,21:00:00,Velocidad,0,235,9,0
Norte,E2,22:00:00,Caudal,0,227,8,9
Norte,E2,22:00:00,Velocidad,0,235,9,0
Norte,E2,23:00:00,Caudal,0,229,6,9
Norte,E2,23:00:00,Velocidad,0,235,9,0
Sur,E0,00:00:00,Caudal,0,273,5,5
Sur,E0,00:00:00,Velocidad,0,268,10,5
Sur,E0,01:00:00,Caudal,0,273,5,5
Sur,E0,01:00:00,Velocidad,0,268,10,5
Sur,E0,02:00:00,Caudal,0,272,6,5
Sur,E0,02:00:00,Velocidad,0,268,10,5
Sur,E0,03:00:00,Caudal,0,272,6,5
Sur,E0,03:00:00,Velocidad,0,268,10,5
Sur,E0,04:00:00,Caudal,0,272,6,5
Sur,E0,04:00:00,Velocidad,0,267,11,5
Sur,E0,05:00:00,Caudal,0,268,6,9
Sur,E0,05:00:00,Velocidad,0,257,19,7
Sur,E0,06:00:00,Caudal,0,268,6,9
Sur,E0,06:00:00,Velocidad,0,254,20,9
Sur,E0,07:00:00,Caudal,0,536,12,18
Sur,E0,07:00:00,Velocidad,0,508,40,18
Sur,E0,09:00:00,Caudal,0,268,6,9
Sur,E0,09:00:00,Velocidad,0,254,19,10
Sur,E0,10:00:00,Caudal,0,268,6,9
Sur,E0,10:00:00,Velocidad,0,254,20,9
Sur,E0,11:00:00,Caudal,0,268,6,9
Sur,E0,11:00:00,Velocidad,0,254,20,9
Sur,E0,12:00:00,Caudal,0,268,6,9
Sur,E0,12:00:00,Velocidad,0,256,18,9
Sur,E0,13:00:00,Caudal,0,268,6,9
Sur,E0,13:00:00,Velocidad,0,256,18,9
Sur,E0,14:00:00,Caudal,0,268,6,9
Sur,E0,14:00:00,Velocidad,0,258,20,5
Sur,E0,15:00:00,Caudal,0,268,6,9
Sur,E0,15:00:00,Velocidad,0,258,20,5
Sur,E0,16:00:00,Caudal,0,269,9,5
Sur,E0,16:00:00,Velocidad,0,259,19,5
Sur,E0,17:00:00,Caudal,0,269,9,5
Sur,E0,17:00:00,Velocidad,0,259,19,5
Sur,E0,18:00:00,Caudal,0,269,9,5
Sur,E0,18:00:00,Velocidad,0,264,14,5
Sur,E0,19:00:00,Caudal,0,269,9,5
Sur,E0,19:00:00,Velocidad,0,264,14,5
