Sector,Escenario,Hora,IdNudo,Demanda,Altura,Presion,Calidad
Norte,E1,0:00,1153,0.01,1797.69,25.09,0.00
Norte,E1,0:00,1154,0.00,1797.69,25.54,0.00
Norte,E1,0:00,1313,0.00,1797.68,25.98,0.00
Norte,E1,0:00,1268,0.05,1797.76,17.26,0.00
Norte,E1,0:00,5019,0.04,1797.65,28.47,0.00
Norte,E1,0:00,404,0.02,1797.66,28.50,0.00
Norte,E1,0:00,1248,0.05,1797.68,21.75,0.00
Norte,E1,0:00,5011,0.04,1797.64,22.43,0.00
Norte,E1,0:00,5010,0.02,1797.70,22.25,0.00
Norte,E1,0:00,10020,0.04,1797.66,29.72,0.00
Norte,E1,0:00,10059,0.03,1797.65,26.16,0.00
Norte,E1,0:00,10061,0.00,1797.72,17.01,0.00
Norte,E1,0:00,10062,0.00,1797.73,16.91,0.00
Norte,E1,0:00,10063,0.00,1797.76,17.17,0.00
Norte,E1,0:00,10082,0.07,1797.71,16.97,0.00
Norte,E1,0:00,5763,0.02,1797.94,16.94,0.00
Norte,E1,0:00,5762,0.01,1797.95,16.71,0.00
Norte,E1,0:00,5761,0.02,1797.89,17.66,0.00
Norte,E1,0:00,5760,0.03,1797.91,17.27,0.00
Norte,E1,0:00,5750,0.03,1797.88,17.55,0.00
Norte,E1,0:00,5749,0.05,1797.84,17.69,0.00
Norte,E1,0:00,5748,0.05,1797.79,17.53,0.00
Norte,E1,0:00,1265,0.02,1797.76,17.17,0.00
Norte,E1,0:00,1274,0.05,1797.74,17.94,0.00
Norte,E1,0:00,1276,0.10,1797.73,18.92,0.00
Norte,E1,0:00,5747,0.04,1797.69,22.36,0.00
Norte,E1,0:00,5746,0.06,1797.71,20.86,0.00
Norte,E1,0:00,1158,0.09,1797.69,25.75,0.00
Norte,E1,0:00,1137,0.10,1797.67,28.94,0.00
Norte,E1,0:00,5744,0.04,1797.67,28.59,0.00
Norte,E1,0:00,364,0.06,1797.66,28.95,0.00
Norte,E1,0:00,5709,0.12,1797.75,17.28,0.00
Norte,E1,0:00,5685,0.02,1797.67,22.13,0.00
Norte,E1,0:00,1175,0.09,1797.67,28.33,0.00
Norte,E1,0:00,1191,0.05,1797.67,25.55,0.00
Norte,E1,0:00,1176,0.13,1797.67,29.82,0.00
Norte,E1,0:00,1166,0.04,1797.68,28.36,0.00
Norte,E1,0:00,1165,0.03,1797.67,28.80,0.00
Norte,E1,0:00,1182,0.05,1797.67,29.06,0.00
Norte,E1,0:00,1179,0.04,1797.67,29.33,0.00
Norte,E1,0:00,401,0.04,1797.66,28.70,0.00
Norte,E1,0:00,400,0.05,1797.66,28.68,0.00
Norte,E1,0:00,1103,0.00,1797.65,27.60,0.00
Norte,E1,0:00,1125,0.05,1797.65,27.68,0.00
Norte,E1,0:00,1128,0.05,1797.65,27.93,0.00
Norte,E1,0:00,1122,0.04,1797.65,27.74,0.00
Norte,E1,0:00,1100,0.03,1797.65,26.67,0.00
Norte,E1,0:00,1102,0.06,1797.65,26.62,0.00
Norte,E1,0:00,1049,0.02,1797.65,26.25,0.00
Norte,E1,0:00,5678,0.05,1797.65,26.33,0.00
Norte,E1,0:00,1051,0.03,1797.65,26.14,0.00
Norte,E1,0:00,1107,0.03,1797.65,26.85,0.00
Norte,E1,0:00,1112,0.02,1797.65,26.50,0.00
Norte,E1,0:00,1110,0.01,1797.65,26.48,0.00
Norte,E1,0:00,1059,0.04,1797.65,25.91,0.00
Norte,E1,0:00,1113,0.03,1797.65,26.24,0.00
Norte,E1,0:00,1077,0.02,1797.65,26.10,0.00
Norte,E1,0:00,363,0.03,1797.66,28.95,0.00
Norte,E1,0:00,1305,0.00,1797.73,16.34,0.00
Norte,E1,0:00,1304,0.04,1797.73,16.33,0.00
Norte,E1,0:00,1306,0.05,1797.73,16.34,0.00
Norte,E1,0:00,1302,0.07,1797.73,16.33,0.00
Norte,E1,0:00,1272,0.02,1797.74,17.91,0.00
Norte,E1,0:00,1187,0.16,1797.67,21.96,0.00
Norte,E1,0:00,1150,0.16,1797.66,27.38,0.00
Norte,E1,0:00,1297,0.07,1797.73,16.85,0.00
Norte,E1,0:00,1293,0.06,1797.72,18.21,0.00
Norte,E1,0:00,1286,0.06,1797.72,19.13,0.00
Norte,E1,0:00,1279,0.04,1797.72,20.21,0.00
Norte,E1,0:00,1281,0.05,1797.72,20.58,0.00
Norte,E1,0:00,1149,0.12,1797.68,27.57,0.00
Norte,E1,0:00,5621,0.03,1797.65,28.74,0.00
Norte,E1,0:00,5620,0.04,1797.65,28.80,0.00
Norte,E1,0:00,355,0.04,1797.67,28.89,0.00
Norte,E1,0:00,1139,0.06,1797.67,28.92,0.00
Norte,E1,0:00,5614,0.02,1797.67,28.94,0.00
Norte,E1,0:00,1169,0.07,1797.67,28.97,0.00
Norte,E1,0:00,1164,0.08,1797.67,28.69,0.00
Norte,E1,0:00,5613,0.05,1797.66,28.85,0.00
Norte,E1,0:00,1143,0.06,1797.66,28.71,0.00
Norte,E1,0:00,1145,0.03,1797.66,28.80,0.00
Norte,E1,0:00,362,0.07,1797.66,28.96,0.00
Norte,E1,0:00,1117,0.07,1797.65,26.28,0.00
Norte,E1,0:00,5604,0.05,1797.66,27.01,0.00
Norte,E1,0:00,5603,0.04,1797.66,27.44,0.00
Norte,E1,0:00,1340,0.03,1797.72,25.38,0.00
Norte,E1,0:00,1334,0.05,1797.72,18.44,0.00
Norte,E1,0:00,1326,0.07,1797.72,16.53,0.00
Norte,E1,0:00,1257,0.06,1797.73,17.54,0.00
Norte,E1,0:00,1252,0.08,1797.71,17.62,0.00
Norte,E1,0:00,1240,0.09,1797.71,17.54,0.00
Norte,E1,0:00,1223,0.04,1797.70,15.92,0.00
Norte,E1,0:00,5538,0.05,1797.65,26.22,0.00
Norte,E1,0:00,5537,0.03,1797.65,25.90,0.00
Norte,E1,0:00,1284,0.02,1797.66,27.42,0.00
Norte,E1,0:00,5533,0.02,1797.72,17.18,0.00
Norte,E1,0:00,5523,0.00,1797.65,25.64,0.00
Norte,E1,0:00,1246,0.03,1797.68,22.28,0.00
Norte,E1,0:00,1196,0.04,1797.61,23.39,0.00
Norte,E1,0:00,1207,0.09,1797.61,21.83,0.00
Norte,E1,0:00,1197,0.04,1797.61,23.86,0.00
Norte,E1,0:00,1172,0.12,1797.66,30.03,0.00
Norte,E1,0:00,1244,0.09,1797.69,21.02,0.00
Norte,E1,0:00,1245,0.05,1797.68,22.09,0.00
Norte,E1,0:00,1225,0.03,1797.68,20.98,0.00
Norte,E1,0:00,1243,0.03,1797.70,19.47,0.00
Norte,E1,0:00,1226,0.05,1797.70,19.75,0.00
Norte,E1,0:00,1232,0.02,1797.70,18.27,0.00
Norte,E1,0:00,1228,0.03,1797.70,19.08,0.00
Norte,E1,0:00,1230,0.01,1797.70,18.73,0.00
Norte,E1,0:00,1231,0.01,1797.70,18.81,0.00
Norte,E1,0:00,1229,0.01,1797.70,18.78,0.00
Norte,E1,0:00,5506,0.01,1797.70,19.22,0.00
Norte,E1,0:00,1224,0.05,1797.70,19.52,0.00
Norte,E1,0:00,1324,0.02,1797.73,16.88,0.00
Norte,E1,0:00,1308,0.06,1797.72,16.86,0.00
Norte,E1,0:00,1323,0.05,1797.72,18.31,0.00
Norte,E1,0:00,1255,0.06,1797.73,18.16,0.00
Norte,E1,0:00,1250,0.11,1797.70,19.01,0.00
Norte,E1,0:00,1249,0.11,1797.69,20.11,0.00
Norte,E1,0:00,1186,0.01,1797.69,22.28,0.00
Norte,E1,0:00,1292,0.05,1797.72,17.56,0.00
Norte,E1,0:00,1291,0.00,1797.72,17.33,0.00
Norte,E1,0:00,1289,0.02,1797.72,19.49,0.00
Norte,E1,0:00,1288,0.01,1797.72,21.16,0.00
Norte,E1,0:00,1184,0.03,1797.69,21.25,0.00
Norte,E1,0:00,347,0.06,1797.65,30.13,0.00
Norte,E1,0:00,351,0.04,1797.65,30.40,0.00
Norte,E1,0:00,1134,0.11,1797.67,29.00,0.00
Norte,E1,0:00,1140,0.02,1797.67,28.97,0.00
Norte,E1,0:00,5495,0.08,1797.65,29.18,0.00
Norte,E1,0:00,5494,0.01,1797.67,27.26,0.00
Norte,E1,0:00,5493,0.01,1797.67,27.19,0.00
Norte,E1,0:00,1161,0.03,1797.68,27.19,0.00
Norte,E1,0:00,1104,0.06,1797.65,26.65,0.00
Norte,E1,0:00,1318,0.06,1797.65,25.92,0.00
Norte,E1,0:00,1319,0.01,1797.65,25.57,0.00
Norte,E1,0:00,5484,0.00,1797.70,15.54,0.00
Norte,E1,0:00,1144,0.06,1797.65,28.88,0.00
Norte,E1,0:00,1131,0.06,1797.65,27.90,0.00
Norte,E1,0:00,1130,0.06,1797.65,27.75,0.00
Norte,E1,0:00,5478,0.00,1797.74,17.96,0.00
Norte,E1,0:00,5345,0.11,1797.75,22.37,0.00
Norte,E1,0:00,5344,0.11,1797.75,22.21,0.00
Norte,E1,0:00,5343,0.11,1797.75,17.27,0.00
Norte,E1,0:00,5342,0.03,1797.70,22.15,0.00
Norte,E1,0:00,5314,0.01,1797.64,22.29,0.00
Norte,E1,0:00,5313,0.00,1797.65,28.84,0.00
Norte,E1,0:00,5312,0.00,1797.65,29.04,0.00
Norte,E1,0:00,5311,0.10,1797.65,28.90,0.00
Norte,E1,0:00,1315,0.05,1797.68,25.94,0.00
Norte,E1,0:00,5291,0.01,1797.68,26.20,0.00
Norte,E1,0:00,1312,0.08,1797.68,25.76,0.00
Norte,E1,0:00,1335,0.05,1797.71,19.00,0.00
Norte,E1,0:00,1336,0.01,1797.71,18.13,0.00
Norte,E1,0:00,1253,0.11,1797.70,20.09,0.00
Norte,E1,0:00,1142,0.02,1797.66,27.86,0.00
Norte,E1,0:00,1109,0.01,1797.65,26.84,0.00
Norte,E1,0:00,1119,0.09,1797.65,26.87,0.00
Norte,E1,0:00,1093,0.06,1797.65,25.81,0.00
Norte,E1,0:00,1063,0.02,1797.65,25.64,0.00
Norte,E1,0:00,5289,0.01,1797.65,26.17,0.00
Norte,E1,0:00,349,0.04,1797.65,28.82,0.00
Norte,E1,0:00,5264,0.02,1797.66,28.96,0.00
Norte,E1,0:00,1221,0.04,1797.70,16.14,0.00
Norte,E1,0:00,1189,0.01,1797.64,21.55,0.00
Norte,E1,0:00,1094,0.01,1797.65,25.57,0.00
Norte,E1,0:00,405,0.01,1797.66,28.45,0.00
Norte,E1,0:00,5241,0.00,1797.70,16.07,0.00
Norte,E1,0:00,5204,0.11,1797.61,21.89,0.00
Norte,E1,0:00,1216,0.07,1797.61,15.58,0.00
Norte,E1,0:00,350,0.02,1797.65,28.81,0.00
Norte,E1,0:00,354,0.10,1797.67,28.97,0.00
Norte,E1,0:00,1192,0.01,1797.67,23.65,0.00
Norte,E1,0:00,5193,0.00,1797.65,27.80,0.00
Norte,E1,0:00,1120,0.06,1797.65,26.44,0.00
Norte,E1,0:00,1295,0.10,1797.73,17.24,0.00
Norte,E1,0:00,1282,0.02,1797.72,22.05,0.00
Norte,E1,0:00,346,0.03,1797.65,29.95,0.00
Norte,E1,0:00,356,0.07,1797.67,28.93,0.00
Norte,E1,0:00,1162,0.00,1797.67,28.61,0.00
Norte,E1,0:00,368,0.03,1797.65,28.98,0.00
Norte,E1,0:00,1115,0.07,1797.65,26.23,0.00
Norte,E1,0:00,1247,0.05,1797.68,22.04,0.00
Norte,E1,0:00,1181,0.01,1797.66,29.82,0.00
Norte,E1,0:00,1171,0.05,1797.66,28.98,0.00
Norte,E1,0:00,1174,0.04,1797.66,29.83,0.00
Norte,E1,0:00,1242,0.09,1797.70,18.70,0.00
Norte,E1,0:00,1233,0.01,1797.70,18.24,0.00
Norte,E1,0:00,1321,0.04,1797.72,17.75,0.00
Norte,E1,0:00,1310,0.01,1797.72,20.90,0.00
Norte,E1,0:00,1322,0.00,1797.72,18.52,0.00
Norte,E1,0:00,1254,0.10,1797.71,18.41,0.00
Norte,E1,0:00,1185,0.02,1797.69,22.96,0.00
Norte,E1,0:00,1294,0.02,1797.73,18.07,0.00
Norte,E1,0:00,1290,0.08,1797.72,19.57,0.00
Norte,E1,0:00,352,0.10,1797.65,30.28,0.00
Norte,E1,0:00,353,0.06,1797.65,30.19,0.00
Norte,E1,0:00,348,0.10,1797.65,30.14,0.00
Norte,E1,0:00,358,0.02,1797.67,29.40,0.00
Norte,E1,0:00,357,0.03,1797.67,29.15,0.00
Norte,E1,0:00,1135,0.07,1797.65,29.11,0.00
Norte,E1,0:00,5148,0.00,1797.66,28.68,0.00
Norte,E1,0:00,1133,0.02,1797.65,28.93,0.00
Norte,E1,0:00,1095,0.02,1797.65,26.06,0.00
Norte,E1,0:00,1159,0.06,1797.68,28.12,0.00
Norte,E1,0:00,5112,0.02,1797.74,17.95,0.00
Norte,E1,0:00,5108,0.00,1797.64,22.36,0.00
Norte,E1,0:00,1190,0.05,1797.64,22.51,0.00
Norte,E1,0:00,1151,0.03,1797.72,23.49,0.00
Norte,E1,0:00,1053,0.02,1797.65,26.14,0.00
Norte,E1,0:00,1106,0.07,1797.65,26.59,0.00
Norte,E1,0:00,1089,0.03,1797.65,26.26,0.00
Norte,E1,0:00,1141,0.04,1797.65,27.91,0.00
Norte,E1,0:00,371,0.04,1797.65,28.96,0.00
Norte,E1,0:00,5087,0.00,1797.66,29.00,0.00
Norte,E1,0:00,1148,0.00,1797.66,28.97,0.00
Norte,E1,0:00,1147,0.00,1797.66,28.96,0.00
Norte,E1,0:00,5086,0.05,1797.66,28.95,0.00
Norte,E1,0:00,1309,0.03,1797.72,24.75,0.00
Norte,E1,1:00,1153,0.01,1797.68,25.08,0.00
Norte,E1,1:00,1154,0.00,1797.68,25.53,0.00
Norte,E1,1:00,1313,0.00,1797.67,25.97,0.00
Norte,E1,1:00,1268,0.05,1797.75,17.25,0.00
