Sector,Escenario,Hora,IdTubo,Caudal,Velocidad,PerUni,Estado
Norte,E2,00:00:00,10258E,0.03,0.00,0.00,0.0
Norte,E2,00:00:00,10258F,0.04,0.00,0.00,0.0
Norte,E2,00:00:00,105FFC,0.01,0.00,0.00,0.0
Norte,E2,00:00:00,107464,0.10,0.02,0.01,0.0
Norte,E2,00:00:00,1079D3,0.04,0.01,0.00,0.0
Norte,E2,00:00:00,1079D4,0.13,0.03,0.01,0.0
Norte,E2,00:00:00,11BE0F,0.01,0.00,0.00,0.0
Norte,E2,00:00:00,11BE17,0.10,0.02,0.01,0.0
Norte,E2,00:00:00,11BE1F,0.45,0.06,0.05,0.0
Norte,E2,00:00:00,11BE20,-9.36,0.30,0.43,0.0
Norte,E2,00:00:00,15357,0.01,0.00,0.00,0.0
Norte,E2,00:00:00,1535D,0.10,0.03,0.03,0.0
Norte,E2,00:00:00,15369,-0.16,0.05,0.06,0.0
Norte,E2,00:00:00,16168EC9,-0.29,0.04,0.02,0.0
Norte,E2,00:00:00,3370,-0.34,0.08,0.11,0.0
Norte,E2,00:00:00,3379,-0.24,0.05,0.06,0.0
Norte,E2,00:00:00,346A,0.03,0.01,0.00,0.0
Norte,E2,00:00:00,348A,-0.15,0.03,0.02,0.0
Norte,E2,00:00:00,3511,0.02,0.01,0.00,0.0
Norte,E2,00:00:00,351C,-0.21,0.05,0.04,0.0
Norte,E2,00:00:00,353C,0.02,0.00,0.00,0.0
Norte,E2,00:00:00,36A1,-0.08,0.02,0.01,0.0
Norte,E2,00:00:00,36A6,0.21,0.05,0.04,0.0
Norte,E2,00:00:00,3AD4,-0.19,0.02,0.01,0.0
Norte,E2,00:00:00,3AD5,0.04,0.01,0.00,0.0
Norte,E2,00:00:00,3AF7,-0.23,0.03,0.01,0.0
Norte,E2,00:00:00,3D3E,0.02,0.00,0.00,0.0
Norte,E2,00:00:00,3D7A,1.10,0.06,0.03,0.0
Norte,E2,00:00:00,3D7B,0.98,0.06,0.03,0.0
Norte,E2,00:00:00,3ECA,-2.44,0.08,0.04,0.0
Norte,E2,00:00:00,3ECC,-4.42,0.14,0.11,0.0
Norte,E2,00:00:00,3ECD,-4.33,0.14,0.11,0.0
Norte,E2,00:00:00,65C95,0.10,0.02,0.01,0.0
Norte,E2,00:00:00,65CCA,-0.11,0.02,0.01,0.0
Norte,E2,00:00:00,728F9,-0.39,0.09,0.14,0.0
Norte,E2,00:00:00,72BF8,0.04,0.01,0.00,0.0
Norte,E2,00:00:00,72BFA,-0.15,0.04,0.03,0.0
Norte,E2,00:00:00,72C13,-0.22,0.05,0.06,0.0
Norte,E2,00:00:00,72C15,0.21,0.05,0.08,0.0
