Sector,Escenario,Hora,IdNudo,Demanda,Altura,Presion,Calidad
Norte,E3,00:00:00,1153,0.01,1816.51,43.91,0.0
Norte,E3,00:00:00,1154,0.00,1816.51,44.36,0.0
Norte,E3,00:00:00,1313,0.00,1816.50,44.80,0.0
Norte,E3,00:00:00,1268,0.05,1816.58,36.08,0.0
Norte,E3,00:00:00,5019,0.04,1816.47,47.29,0.0
Norte,E3,00:00:00,404,0.02,1816.48,47.32,0.0
Norte,E3,00:00:00,1248,0.05,1816.50,40.57,0.0
Norte,E3,00:00:00,5011,0.04,1816.46,41.25,0.0
Norte,E3,00:00:00,5010,0.02,1816.52,41.07,0.0
Norte,E3,00:00:00,10020,0.04,1816.48,48.54,0.0
Norte,E3,00:00:00,10059,0.03,1816.47,44.98,0.0
Norte,E3,00:00:00,10061,0.00,1816.54,35.83,0.0
Norte,E3,00:00:00,10062,0.00,1816.55,35.73,0.0
Norte,E3,00:00:00,10063,0.00,1816.58,35.99,0.0
Norte,E3,00:00:00,10082,0.07,1816.52,35.78,0.0
Norte,E3,00:00:00,5763,0.02,1816.76,35.76,0.0
Norte,E3,00:00:00,5762,0.01,1816.77,35.53,0.0
Norte,E3,00:00:00,5761,0.02,1816.71,36.48,0.0
Norte,E3,00:00:00,5760,0.03,1816.73,36.09,0.0
Norte,E3,00:00:00,5750,0.03,1816.70,36.37,0.0
Norte,E3,00:00:00,5749,0.05,1816.66,36.51,0.0
Norte,E3,00:00:00,5748,0.05,1816.61,36.35,0.0
Norte,E3,00:00:00,1265,0.02,1816.58,35.99,0.0
Norte,E3,00:00:00,1274,0.05,1816.56,36.76,0.0
Norte,E3,00:00:00,1276,0.10,1816.55,37.74,0.0
Norte,E3,00:00:00,5747,0.04,1816.51,41.18,0.0
Norte,E3,00:00:00,5746,0.06,1816.53,39.68,0.0
Norte,E3,00:00:00,1158,0.09,1816.51,44.57,0.0
Norte,E3,00:00:00,1137,0.10,1816.49,47.76,0.0
Norte,E3,00:00:00,5744,0.04,1816.49,47.41,0.0
Norte,E3,00:00:00,364,0.06,1816.48,47.77,0.0
Norte,E3,00:00:00,5709,0.12,1816.57,36.10,0.0
Norte,E3,00:00:00,5685,0.02,1816.49,40.95,0.0
Norte,E3,00:00:00,1175,0.09,1816.49,47.15,0.0
Norte,E3,00:00:00,1191,0.05,1816.49,44.37,0.0
Norte,E3,00:00:00,1176,0.13,1816.49,48.64,0.0
Norte,E3,00:00:00,1166,0.04,1816.50,47.18,0.0
Norte,E3,00:00:00,1165,0.03,1816.49,47.62,0.0
Norte,E3,00:00:00,1182,0.05,1816.49,47.88,0.0
Norte,E3,00:00:00,1179,0.04,1816.49,48.15,0.0
Norte,E3,00:00:00,401,0.04,1816.48,47.52,0.0
Norte,E3,00:00:00,400,0.05,1816.48,47.50,0.0
Norte,E3,00:00:00,1103,0.00,1816.47,46.42,0.0
Norte,E3,00:00:00,1125,0.05,1816.47,46.50,0.0
Norte,E3,00:00:00,1128,0.05,1816.47,46.75,0.0
Norte,E3,00:00:00,1122,0.04,1816.47,46.56,0.0
Norte,E3,00:00:00,1100,0.03,1816.47,45.49,0.0
Norte,E3,00:00:00,1102,0.06,1816.47,45.44,0.0
Norte,E3,00:00:00,1049,0.02,1816.47,45.07,0.0
Norte,E3,00:00:00,5678,0.05,1816.47,45.15,0.0
Norte,E3,00:00:00,1051,0.03,1816.47,44.96,0.0
Norte,E3,00:00:00,1107,0.03,1816.47,45.67,0.0
Norte,E3,00:00:00,1112,0.02,1816.47,45.32,0.0
Norte,E3,00:00:00,1110,0.01,1816.47,45.30,0.0
Norte,E3,00:00:00,1059,0.04,1816.47,44.73,0.0
Norte,E3,00:00:00,1113,0.03,1816.47,45.06,0.0
Norte,E3,00:00:00,1077,0.02,1816.47,44.92,0.0
Norte,E3,00:00:00,363,0.03,1816.48,47.77,0.0
Norte,E3,00:00:00,1305,0.00,1816.55,35.16,0.0
Norte,E3,00:00:00,1304,0.04,1816.55,35.15,0.0
Norte,E3,00:00:00,1306,0.05,1816.55,35.16,0.0
Norte,E3,00:00:00,1302,0.07,1816.55,35.15,0.0
Norte,E3,00:00:00,1272,0.02,1816.56,36.73,0.0
Norte,E3,00:00:00,1187,0.16,1816.49,40.78,0.0
Norte,E3,00:00:00,1150,0.16,1816.48,46.20,0.0
Norte,E3,00:00:00,1297,0.07,1816.55,35.67,0.0
Norte,E3,00:00:00,1293,0.06,1816.54,37.03,0.0
Norte,E3,00:00:00,1286,0.06,1816.54,37.95,0.0
Norte,E3,00:00:00,1279,0.04,1816.54,39.03,0.0
Norte,E3,00:00:00,1281,0.05,1816.54,39.40,0.0
Norte,E3,00:00:00,1149,0.12,1816.50,46.39,0.0
Norte,E3,00:00:00,5621,0.03,1816.47,47.56,0.0
Norte,E3,00:00:00,5620,0.04,1816.47,47.62,0.0
Norte,E3,00:00:00,355,0.04,1816.49,47.71,0.0
Norte,E3,00:00:00,1139,0.06,1816.49,47.74,0.0
Norte,E3,00:00:00,5614,0.02,1816.49,47.76,0.0
Norte,E3,00:00:00,1169,0.07,1816.49,47.79,0.0
Norte,E3,00:00:00,1164,0.08,1816.49,47.51,0.0
Norte,E3,00:00:00,5613,0.05,1816.48,47.67,0.0
Norte,E3,00:00:00,1143,0.06,1816.48,47.53,0.0
Norte,E3,00:00:00,1145,0.03,1816.48,47.62,0.0
Norte,E3,00:00:00,362,0.07,1816.48,47.78,0.0
Norte,E3,00:00:00,1117,0.07,1816.47,45.10,0.0
Norte,E3,00:00:00,5604,0.05,1816.48,45.83,0.0
Norte,E3,00:00:00,5603,0.04,1816.48,46.26,0.0
Norte,E3,00:00:00,1340,0.03,1816.54,44.20,0.0
Norte,E3,00:00:00,1334,0.05,1816.54,37.26,0.0
Norte,E3,00:00:00,1326,0.07,1816.54,35.35,0.0
Norte,E3,00:00:00,1257,0.06,1816.55,36.36,0.0
Norte,E3,00:00:00,1252,0.08,1816.53,36.44,0.0
Norte,E3,00:00:00,1240,0.09,1816.53,36.36,0.0
Norte,E3,00:00:00,1223,0.04,1816.52,34.74,0.0
Norte,E3,00:00:00,5538,0.05,1816.47,45.04,0.0
