Sector,Escenario,Hora,IdNudo,Demanda,Altura,Presion,Calidad
Norte,E0,00:00:00,346,0.03,1801.47,33.77,0.0
Norte,E0,00:00:00,347,0.06,1801.47,33.95,0.0
Norte,E0,00:00:00,348,0.1,1801.47,33.96,0.0
Norte,E0,00:00:00,349,0.04,1801.47,32.64,0.0
Norte,E0,00:00:00,350,0.02,1801.47,32.63,0.0
Norte,E0,00:00:00,351,0.04,1801.47,34.22,0.0
Norte,E0,00:00:00,352,0.1,1801.47,34.1,0.0
Norte,E0,00:00:00,353,0.06,1801.47,34.01,0.0
Norte,E0,00:00:00,354,0.1,1801.49,32.79,0.0
Norte,E0,00:00:00,355,0.04,1801.49,32.71,0.0
Norte,E0,00:00:00,356,0.07,1801.49,32.75,0.0
Norte,E0,00:00:00,357,0.03,1801.49,32.97,0.0
Norte,E0,00:00:00,358,0.02,1801.49,33.22,0.0
Norte,E0,00:00:00,362,0.07,1801.48,32.78,0.0
Norte,E0,00:00:00,363,0.03,1801.48,32.77,0.0
Norte,E0,00:00:00,364,0.06,1801.48,32.77,0.0
Norte,E0,00:00:00,368,0.03,1801.47,32.8,0.0
Norte,E0,00:00:00,371,0.04,1801.47,32.78,0.0
Norte,E0,00:00:00,400,0.05,1801.48,32.5,0.0
Norte,E0,00:00:00,401,0.04,1801.48,32.52,0.0
Norte,E0,00:00:00,404,0.02,1801.48,32.32,0.0
Norte,E0,00:00:00,405,0.01,1801.48,32.27,0.0
Norte,E0,00:00:00,1049,0.02,1801.47,30.07,0.0
Norte,E0,00:00:00,1051,0.03,1801.47,29.96,0.0
Norte,E0,00:00:00,1053,0.02,1801.47,29.96,0.0
Norte,E0,00:00:00,1059,0.04,1801.47,29.73,0.0
Norte,E0,00:00:00,1063,0.02,1801.47,29.46,0.0
Norte,E0,00:00:00,1077,0.02,1801.47,29.92,0.0
Norte,E0,00:00:00,1089,0.03,1801.47,30.08,0.0
Norte,E0,00:00:00,1093,0.06,1801.47,29.63,0.0
Norte,E0,00:00:00,1094,0.01,1801.47,29.39,0.0
Norte,E0,00:00:00,1095,0.02,1801.47,29.88,0.0
Norte,E0,00:00:00,1100,0.03,1801.47,30.49,0.0
Norte,E0,00:00:00,1102,0.06,1801.47,30.44,0.0
Norte,E0,00:00:00,1103,0.0,1801.47,31.42,0.0
Norte,E0,00:00:00,1104,0.06,1801.47,30.47,0.0
Norte,E0,00:00:00,1106,0.07,1801.47,30.41,0.0
Norte,E0,00:00:00,1107,0.03,1801.47,30.67,0.0
Norte,E0,00:00:00,1109,0.01,1801.47,30.66,0.0
Norte,E0,00:00:00,1110,0.01,1801.47,30.3,0.0
Norte,E0,00:00:00,1112,0.02,1801.47,30.32,0.0
Norte,E0,00:00:00,1113,0.03,1801.47,30.06,0.0
Norte,E0,00:00:00,1115,0.07,1801.47,30.05,0.0
Norte,E0,00:00:00,1117,0.07,1801.47,30.1,0.0
Norte,E0,00:00:00,1119,0.09,1801.47,30.69,0.0
Norte,E0,00:00:00,1120,0.06,1801.47,30.26,0.0
Norte,E0,00:00:00,1122,0.04,1801.47,31.56,0.0
Norte,E0,00:00:00,1125,0.05,1801.47,31.5,0.0
Norte,E0,00:00:00,1128,0.05,1801.47,31.75,0.0
Norte,E0,00:00:00,1130,0.06,1801.47,31.57,0.0
Norte,E0,00:00:00,1131,0.06,1801.47,31.72,0.0
Norte,E0,00:00:00,1133,0.02,1801.47,32.75,0.0
Norte,E0,00:00:00,1134,0.11,1801.49,32.82,0.0
Norte,E0,00:00:00,1135,0.07,1801.47,32.93,0.0
Norte,E0,00:00:00,1137,0.1,1801.49,32.76,0.0
Norte,E0,00:00:00,1139,0.06,1801.49,32.74,0.0
Norte,E0,00:00:00,1140,0.02,1801.49,32.79,0.0
Norte,E0,00:00:00,1141,0.04,1801.47,31.73,0.0
Norte,E0,00:00:00,1142,0.02,1801.48,31.68,0.0
Norte,E0,00:00:00,1143,0.06,1801.48,32.53,0.0
Norte,E0,00:00:00,1144,0.06,1801.47,32.7,0.0
Norte,E0,00:00:00,1145,0.03,1801.48,32.62,0.0
Norte,E0,00:00:00,1147,0.0,1801.48,32.78,0.0
Norte,E0,00:00:00,1148,0.0,1801.48,32.79,0.0
Norte,E0,00:00:00,1149,0.12,1801.5,31.39,0.0
Norte,E0,00:00:00,1150,0.16,1801.48,31.2,0.0
Norte,E0,00:00:00,1151,0.03,1801.54,27.31,0.0
Norte,E0,00:00:00,1153,0.01,1801.51,28.91,0.0
Norte,E0,00:00:00,1154,0.0,1801.51,29.36,0.0
Norte,E0,00:00:00,1158,0.09,1801.51,29.57,0.0
Norte,E0,00:00:00,1159,0.06,1801.5,31.94,0.0
Norte,E0,00:00:00,1161,0.03,1801.5,31.01,0.0
Norte,E0,00:00:00,1162,0.0,1801.49,32.43,0.0
Norte,E0,00:00:00,1164,0.08,1801.49,32.51,0.0
Norte,E0,00:00:00,1165,0.03,1801.49,32.62,0.0
Norte,E0,00:00:00,1166,0.04,1801.5,32.18,0.0
Norte,E0,00:00:00,1169,0.07,1801.49,32.79,0.0
Norte,E0,00:00:00,1171,0.05,1801.48,32.8,0.0
Norte,E0,00:00:00,1172,0.12,1801.48,33.85,0.0
Norte,E0,00:00:00,1174,0.04,1801.48,33.65,0.0
Norte,E0,00:00:00,1175,0.09,1801.49,32.15,0.0
Norte,E0,00:00:00,1176,0.13,1801.49,33.64,0.0
Norte,E0,00:00:00,1179,0.04,1801.49,33.15,0.0
Norte,E0,00:00:00,1181,0.01,1801.48,33.64,0.0
Norte,E0,00:00:00,1182,0.05,1801.49,32.88,0.0
Norte,E0,00:00:00,1184,0.03,1801.51,25.07,0.0
Norte,E0,00:00:00,1185,0.02,1801.51,26.78,0.0
Norte,E0,00:00:00,1186,0.01,1801.51,26.1,0.0
Norte,E0,00:00:00,1187,0.16,1801.49,25.78,0.0
Norte,E0,00:00:00,1189,0.01,1801.46,25.37,0.0
Norte,E0,00:00:00,1190,0.05,1801.46,26.33,0.0
Norte,E0,00:00:00,1191,0.05,1801.49,29.37,0.0
Norte,E0,00:00:00,1192,0.01,1801.49,27.47,0.0
Norte,E0,00:00:00,1196,0.04,1801.43,27.21,0.0
Norte,E0,00:00:00,1197,0.04,1801.43,27.68,0.0
Norte,E0,00:00:00,1207,0.09,1801.43,25.64,0.0
Norte,E0,00:00:00,1216,0.07,1801.43,19.4,0.0
Norte,E0,00:00:00,1221,0.04,1801.52,19.96,0.0
Norte,E0,00:00:00,1223,0.04,1801.52,19.74,0.0
Norte,E0,00:00:00,1224,0.05,1801.52,23.34,0.0
Norte,E0,00:00:00,1225,0.03,1801.5,24.8,0.0
Norte,E0,00:00:00,1226,0.05,1801.52,23.57,0.0
Norte,E0,00:00:00,1228,0.03,1801.52,22.9,0.0
Norte,E0,00:00:00,1229,0.01,1801.52,22.6,0.0
Norte,E0,00:00:00,1230,0.01,1801.52,22.55,0.0
Norte,E0,00:00:00,1231,0.01,1801.52,22.63,0.0
Norte,E0,00:00:00,1232,0.02,1801.52,22.09,0.0
Norte,E0,00:00:00,1233,0.01,1801.52,22.06,0.0
Norte,E0,00:00:00,1240,0.09,1801.53,21.36,0.0
Norte,E0,00:00:00,1242,0.09,1801.52,22.52,0.0
Norte,E0,00:00:00,1243,0.03,1801.52,23.29,0.0
Norte,E0,00:00:00,1244,0.09,1801.51,24.84,0.0
Norte,E0,00:00:00,1245,0.05,1801.5,25.91,0.0
Norte,E0,00:00:00,1246,0.03,1801.5,26.1,0.0
Norte,E0,00:00:00,1247,0.05,1801.5,25.86,0.0
Norte,E0,00:00:00,1248,0.05,1801.5,25.57,0.0
Norte,E0,00:00:00,1249,0.11,1801.51,23.93,0.0
Norte,E0,00:00:00,1250,0.11,1801.52,22.83,0.0
Norte,E0,00:00:00,1252,0.08,1801.53,21.44,0.0
Norte,E0,00:00:00,1253,0.11,1801.52,23.91,0.0
Norte,E0,00:00:00,1254,0.1,1801.53,22.23,0.0
Norte,E0,00:00:00,1255,0.06,1801.55,21.98,0.0
Norte,E0,00:00:00,1257,0.06,1801.55,21.36,0.0
Norte,E0,00:00:00,1265,0.02,1801.58,20.99,0.0
Norte,E0,00:00:00,1268,0.05,1801.58,21.08,0.0
Norte,E0,00:00:00,1272,0.02,1801.56,21.73,0.0
Norte,E0,00:00:00,1274,0.05,1801.56,21.76,0.0
Norte,E0,00:00:00,1276,0.1,1801.55,22.74,0.0
Norte,E0,00:00:00,1279,0.04,1801.54,24.03,0.0
Norte,E0,00:00:00,1281,0.05,1801.54,24.4,0.0
Norte,E0,00:00:00,1282,0.02,1801.54,25.87,0.0
Norte,E0,00:00:00,1284,0.02,1801.48,31.24,0.0
Norte,E0,00:00:00,1286,0.06,1801.54,22.95,0.0
Norte,E0,00:00:00,1288,0.01,1801.54,24.98,0.0
