Sector,Escenario,Hora,IdNudo,Demanda,Altura,Presion,Calidad
Norte,E0,0:00:00,346,0.03,1801.47,33.77,
Norte,E0,0:00:00,347,0.06,1801.47,33.95,
Norte,E0,0:00:00,348,0.1,1801.47,33.96,
Norte,E0,0:00:00,349,0.04,1801.47,32.64,
Norte,E0,0:00:00,350,0.02,1801.47,32.63,
Norte,E0,0:00:00,351,0.04,1801.47,34.22,
Norte,E0,0:00:00,352,0.1,1801.47,34.1,
Norte,E0,0:00:00,353,0.06,1801.47,34.01,
Norte,E0,0:00:00,354,0.1,1801.49,32.79,
Norte,E0,0:00:00,355,0.04,1801.49,32.71,
Norte,E0,0:00:00,356,0.07,1801.49,32.75,
Norte,E0,0:00:00,357,0.03,1801.49,32.97,
Norte,E0,0:00:00,358,0.02,1801.49,33.22,
Norte,E0,0:00:00,362,0.07,1801.48,32.78,
Norte,E0,0:00:00,363,0.03,1801.48,32.77,
Norte,E0,0:00:00,364,0.06,1801.48,32.77,
Norte,E0,0:00:00,368,0.03,1801.47,32.8,
Norte,E0,0:00:00,371,0.04,1801.47,32.78,
Norte,E0,0:00:00,400,0.05,1801.48,32.5,
Norte,E0,0:00:00,401,0.04,1801.48,32.52,
Norte,E0,0:00:00,404,0.02,1801.48,32.32,
Norte,E0,0:00:00,405,0.01,1801.48,32.27,
Norte,E0,0:00:00,1049,0.02,1801.47,30.07,
Norte,E0,0:00:00,1051,0.03,1801.47,29.96,
Norte,E0,0:00:00,1053,0.02,1801.47,29.96,
Norte,E0,0:00:00,1059,0.04,1801.47,29.73,
Norte,E0,0:00:00,1063,0.02,1801.47,29.46,
Norte,E0,0:00:00,1077,0.02,1801.47,29.92,
Norte,E0,0:00:00,1089,0.03,1801.47,30.08,
Norte,E0,0:00:00,1093,0.06,1801.47,29.63,
Norte,E0,0:00:00,1094,0.01,1801.47,29.39,
Norte,E0,0:00:00,1095,0.02,1801.47,29.88,
Norte,E0,0:00:00,1100,0.03,1801.47,30.49,
Norte,E0,0:00:00,1102,0.06,1801.47,30.44,
Norte,E0,0:00:00,1103,0.0,1801.47,31.42,
Norte,E0,0:00:00,1104,0.06,1801.47,30.47,
Norte,E0,0:00:00,1106,0.07,1801.47,30.41,
Norte,E0,0:00:00,1107,0.03,1801.47,30.67,
Norte,E0,0:00:00,1109,0.01,1801.47,30.66,
Norte,E0,0:00:00,1110,0.01,1801.47,30.3,
Norte,E0,0:00:00,1112,0.02,1801.47,30.32,
Norte,E0,0:00:00,1113,0.03,1801.47,30.06,
Norte,E0,0:00:00,1115,0.07,1801.47,30.05,
Norte,E0,0:00:00,1117,0.07,1801.47,30.1,
Norte,E0,0:00:00,1119,0.09,1801.47,30.69,
Norte,E0,0:00:00,1120,0.06,1801.47,30.26,
Norte,E0,0:00:00,1122,0.04,1801.47,31.56,
Norte,E0,0:00:00,1125,0.05,1801.47,31.5,
Norte,E0,0:00:00,1128,0.05,1801.47,31.75,
Norte,E0,0:00:00,1130,0.06,1801.47,31.57,
Norte,E0,0:00:00,1131,0.06,1801.47,31.72,
Norte,E0,0:00:00,1133,0.02,1801.47,32.75,
Norte,E0,0:00:00,1134,0.11,1801.49,32.82,
Norte,E0,0:00:00,1135,0.07,1801.47,32.93,
Norte,E0,0:00:00,1137,0.1,1801.49,32.76,
Norte,E0,0:00:00,1139,0.06,1801.49,32.74,
Norte,E0,0:00:00,1140,0.02,1801.49,32.79,
Norte,E0,0:00:00,1141,0.04,1801.47,31.73,
Norte,E0,0:00:00,1142,0.02,1801.48,31.68,
Norte,E0,0:00:00,1143,0.06,1801.48,32.53,
Norte,E0,0:00:00,1144,0.06,1801.47,32.7,
Norte,E0,0:00:00,1145,0.03,1801.48,32.62,
Norte,E0,0:00:00,1147,0.0,1801.48,32.78,
Norte,E0,0:00:00,1148,0.0,1801.48,32.79,
Norte,E0,0:00:00,1149,0.12,1801.5,31.39,
