Sector,Escenario,Hora,IdNudo,Demanda,Altura,Presion,Calidad
Sur,E0,0:00,5038,0.01,1823.84,20.98,0.00
Sur,E0,0:00,5037,0.02,1823.63,36.14,0.00
Sur,E0,0:00,5036,0.02,1823.73,35.17,0.00
Sur,E0,0:00,2785,0.02,1822.79,37.47,0.00
Sur,E0,0:00,2214,0.04,1822.94,43.17,0.00
Sur,E0,0:00,5026,0.00,1822.91,43.65,0.00
Sur,E0,0:00,1263,0.06,1822.87,42.32,0.00
Sur,E0,0:00,2234,0.03,1822.87,42.52,0.00
Sur,E0,0:00,2321,0.14,1822.95,30.49,0.00
Sur,E0,0:00,2316,0.07,1822.86,34.39,0.00
Sur,E0,0:00,10013,0.02,1822.71,17.90,0.00
Sur,E0,0:00,10022,0.05,1822.87,42.57,0.00
Sur,E0,0:00,10025,0.00,1823.50,31.41,0.00
Sur,E0,0:00,1066,0.03,1822.87,50.21,0.00
Sur,E0,0:00,10067,0.04,1823.12,41.33,0.00
Sur,E0,0:00,2302,0.08,1822.86,41.52,0.00
Sur,E0,0:00,2786,0.07,1822.79,36.88,0.00
Sur,E0,0:00,2199,0.10,1823.04,40.51,0.00
Sur,E0,0:00,5682,0.04,1823.03,41.61,0.00
Sur,E0,0:00,2202,0.12,1823.01,41.11,0.00
Sur,E0,0:00,2205,0.13,1822.98,41.49,0.00
Sur,E0,0:00,5681,0.01,1822.97,41.91,0.00
Sur,E0,0:00,2208,0.01,1822.97,41.65,0.00
Sur,E0,0:00,2211,0.07,1822.96,41.74,0.00
Sur,E0,0:00,2221,0.08,1822.91,41.67,0.00
Sur,E0,0:00,2224,0.05,1822.90,41.57,0.00
Sur,E0,0:00,2227,0.01,1822.89,41.66,0.00
Sur,E0,0:00,2292,0.09,1822.87,37.34,0.00
Sur,E0,0:00,2297,0.05,1822.87,41.60,0.00
Sur,E0,0:00,2240,0.06,1822.87,41.76,0.00
Sur,E0,0:00,2239,0.12,1822.88,41.65,0.00
Sur,E0,0:00,2301,0.08,1822.87,42.19,0.00
Sur,E0,0:00,1259,0.04,1822.87,42.65,0.00
Sur,E0,0:00,5668,0.00,1822.79,36.46,0.00
Sur,E0,0:00,5664,0.02,1822.87,42.33,0.00
Sur,E0,0:00,5660,0.08,1823.37,38.31,0.00
Sur,E0,0:00,5659,0.01,1823.51,36.88,0.00
Sur,E0,0:00,5658,0.06,1823.13,42.28,0.00
Sur,E0,0:00,5657,0.02,1823.05,40.57,0.00
Sur,E0,0:00,5656,0.02,1823.04,40.66,0.00
Sur,E0,0:00,5655,0.00,1823.03,41.68,0.00
Sur,E0,0:00,5652,0.07,1822.79,35.94,0.00
Sur,E0,0:00,2792,0.08,1822.76,23.55,0.00
Sur,E0,0:00,2303,0.08,1822.86,40.68,0.00
Sur,E0,0:00,2306,0.06,1822.86,39.30,0.00
Sur,E0,0:00,2330,0.04,1822.84,30.25,0.00
Sur,E0,0:00,5623,0.13,1822.86,37.61,0.00
Sur,E0,0:00,2315,0.05,1822.86,35.14,0.00
Sur,E0,0:00,2843,0.03,1822.79,35.90,0.00
Sur,E0,0:00,2780,0.05,1822.81,36.63,0.00
Sur,E0,0:00,2778,0.04,1822.82,36.68,0.00
Sur,E0,0:00,2770,0.06,1822.84,36.90,0.00
Sur,E0,0:00,2274,0.00,1823.50,31.43,0.00
Sur,E0,0:00,2273,0.03,1823.50,31.98,0.00
Sur,E0,0:00,2749-1,0.07,1822.96,35.86,0.00
Sur,E0,0:00,2750,0.01,1822.96,34.55,0.00
Sur,E0,0:00,2755,0.04,1822.91,36.84,0.00
Sur,E0,0:00,2753,0.04,1822.92,36.99,0.00
Sur,E0,0:00,2195,0.05,1822.96,36.60,0.00
Sur,E0,0:00,2193,0.11,1822.98,36.60,0.00
Sur,E0,0:00,2191,0.14,1823.12,37.82,0.00
Sur,E0,0:00,2238,0.09,1822.87,41.93,0.00
Sur,E0,0:00,2176,0.07,1822.87,43.13,0.00
Sur,E0,0:00,2178,0.03,1822.88,44.42,0.00
Sur,E0,0:00,1329,0.06,1822.87,42.24,0.00
Sur,E0,0:00,1327,0.07,1822.87,41.65,0.00
Sur,E0,0:00,1301,0.07,1822.87,41.55,0.00
Sur,E0,0:00,1234,0.10,1822.85,41.75,0.00
Sur,E0,0:00,2322,0.06,1822.85,40.58,0.00
Sur,E0,0:00,2842,0.06,1822.77,35.14,0.00
Sur,E0,0:00,2841,0.03,1822.77,32.39,0.00
Sur,E0,0:00,2829,0.03,1822.76,27.98,0.00
Sur,E0,0:00,2830,0.02,1822.76,27.58,0.00
Sur,E0,0:00,2831,0.01,1822.76,27.61,0.00
Sur,E0,0:00,2835,0.02,1822.76,28.30,0.00
Sur,E0,0:00,2838,0.01,1822.76,28.37,0.00
Sur,E0,0:00,2839,0.00,1822.76,28.54,0.00
Sur,E0,0:00,2828,0.03,1822.76,22.30,0.00
Sur,E0,0:00,2826,0.03,1822.76,15.04,0.00
Sur,E0,0:00,2823,0.01,1822.76,15.25,0.00
Sur,E0,0:00,5575,0.02,1822.76,15.74,0.00
Sur,E0,0:00,2795,0.01,1822.76,16.86,0.00
Sur,E0,0:00,2796,0.02,1822.76,16.89,0.00
Sur,E0,0:00,2180,0.06,1822.88,44.94,0.00
Sur,E0,0:00,2168,0.05,1822.91,44.87,0.00
Sur,E0,0:00,5535,0.04,1822.91,43.68,0.00
Sur,E0,0:00,5534,0.02,1822.89,41.88,0.00
Sur,E0,0:00,2248,0.08,1822.89,41.26,0.00
Sur,E0,0:00,2310,0.05,1822.85,37.83,0.00
Sur,E0,0:00,2304,0.03,1822.85,39.35,0.00
Sur,E0,0:00,2307,0.09,1822.86,39.86,0.00
Sur,E0,0:00,2294,0.09,1822.86,36.74,0.00
Sur,E0,0:00,2296,0.09,1822.86,40.23,0.00
Sur,E0,0:00,5505,0.09,1822.86,35.82,0.00
Sur,E0,0:00,2326,0.03,1822.84,37.76,0.00
Sur,E0,0:00,2327,0.00,1822.84,37.21,0.00
Sur,E0,0:00,2325,0.06,1822.84,38.30,0.00
Sur,E0,0:00,5504,0.04,1822.84,30.01,0.00
Sur,E0,0:00,5503,0.10,1822.84,35.69,0.00
Sur,E0,0:00,2332,0.04,1822.84,24.38,0.00
Sur,E0,0:00,2783,0.03,1822.81,34.88,0.00
Sur,E0,0:00,2782,0.03,1822.82,35.04,0.00
Sur,E0,0:00,2773,0.05,1822.84,33.65,0.00
Sur,E0,0:00,2772,0.05,1822.84,33.85,0.00
Sur,E0,0:00,2286,0.01,1822.99,22.76,0.00
Sur,E0,0:00,2284,0.04,1822.99,24.16,0.00
Sur,E0,0:00,2285,0.01,1822.99,24.75,0.00
Sur,E0,0:00,2288,0.05,1822.99,27.24,0.00
Sur,E0,0:00,2289,0.07,1822.99,34.52,0.00
Sur,E0,0:00,2282,0.06,1822.99,31.95,0.00
